Year;Coal;Gas;Nuclear;Hydro;Solar;Biofuels;Oil;Total
1990;25.31;18.96;5.99;2.10;0.42;10.37;36.86;100
1995;23.92;19.59;6.59;2.31;0.46;10.54;36.58;100
2000;23.08;20.65;6.73;2.24;0.60;10.19;36.50;100
2005;26.05;20.53;6.28;2.20;0.61;9.54;34.81;100
2010;28.37;21.25;5.58;2.30;0.86;9.49;32.15;100
2015;28.17;21.54;4.90;2.46;1.49;9.64;31.80;100
