rating;year
90;2008
88;2010
86;2014
85;2014
85;2011
85;2016
84;2017
84;2012
84;2012
84;2016
84;2008
84;2009
83;2009
83;2009
83;2012
83;2010
83;2011
82;2017
82;2013
82;2015
82;2015
82;2011
82;2010
82;2009
82;2014
81;2011
81;2014
81;2015
81;2014
81;2017
81;2016
81;2012
81;2010
81;2016
81;2014
81;2013
81;2013
81;2015
81;2016
81;2011
81;2010
81;2008
81;2013
81;2014
81;2009
81;2009
80;2017
80;2017
80;2016
80;2015
